Acrigel mate Xiaomi redmi 9c 10c,3,6,200,100,150,50,3,1,0,0,2,
Acrigel mate Xiaomi Redmi Note 10 y 10s,3,6,200,100,150,50,2,1,1,0,0,
Acrigel mate Xiaomi Redmi Note 10c y 12c,3,6,200,100,150,50,4,3,1,0,0,
Acrigel mate Xiaomi Redmi note 12 4g,3,6,200,100,150,50,2,0,0,0,0,
Acrigel mate Xiaomi Redmi Note 9,3,6,200,100,150,50,0,0,2,0,0,
Acrigel Moto E20,3,6,130,65,100,30,0,0,0,0,14,
Acrigel Moto E6 plus,3,6,130,65,100,30,0,0,1,0,5,
Acrigel MOTO E6s,3,6,130,65,100,30,2,0,0,0,11,
Acrigel MOTO E7 power E7i power,3,6,130,65,100,30,0,0,1,0,15,
Acrigel MOTO Edge 20,3,6,130,65,100,30,0,0,0,0,9,
Acrigel MOTO Edge 20 lite,3,6,130,65,100,30,1,0,0,0,3,
Acrigel MOTO G10 G20 G30,3,6,130,65,100,30,3,0,0,0,6,
Acrigel MOTO G31 G41,3,6,130,65,100,30,1,1,1,0,9,
Acrigel MOTO G42,3,6,130,65,100,30,0,1,0,0,0,
Acrigel MOTO G50 5g,3,6,130,65,100,30,0,1,0,0,0,
Acrigel MOTO G52,3,6,130,65,100,30,0,0,1,0,0,
Acrigel MOTO G7 plus,3,6,130,65,100,30,0,1,0,0,0,
Acrigel MOTO G7 power,3,6,130,65,100,30,0,0,1,0,3,
Acrigel MOTO G8 play,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Moto G8 Power Lite,3,6,130,65,100,30,0,1,0,0,0,
Acrigel Moto G9 play E7 plus,3,6,130,70,100,20,2,0,1,0,0,
Acrigel Moto one fusion plus,3,6,130,65,100,30,0,0,0,0,1,
Acrigel Oppo A16,3,6,130,65,100,30,0,1,0,0,0,
Acrigel Oppo A53 A32,3,6,130,65,100,30,1,0,0,0,0,
Acrigel OPPO a72 4g,3,6,130,65,100,30,0,1,0,0,0,
Acrigel P40 pro,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Poco X3,3,6,130,80,100,30,0,0,1,0,1,
Acrigel Realme C21,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Samsung A01,3,6,130,65,100,30,0,2,0,0,0,
Acrigel Samsung A01 core,3,6,130,65,100,30,1,0,0,0,1,
Acrigel Samsung A02,3,6,130,65,100,30,1,1,0,0,1,
Acrigel Samsung A03 core,3,6,130,65,100,30,1,0,1,0,1,
Acrigel Samsung A03s,3,6,130,65,100,30,0,0,0,0,1,
Acrigel Samsung A10s,3,6,130,65,100,30,2,0,0,0,0,
Acrigel Samsung A12,3,6,130,65,100,30,1,0,1,0,1,
Acrigel Samsung A13,3,6,130,80,100,30,0,0,1,0,0,
Acrigel Samsung A20,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Samsung A20 A30 M10s,3,6,130,65,100,30,0,0,0,0,1,
Acrigel Samsung A21,3,6,130,65,100,30,2,0,0,0,1,
Acrigel Samsung A22 4g,3,6,130,80,100,30,0,0,1,0,0,
Acrigel Samsung A22 5g,3,6,130,80,100,30,0,0,1,0,0,
Acrigel Samsung A23 4g,3,6,150,65,100,30,0,1,0,0,2,
Acrigel Samsung A31,3,6,130,65,100,30,0,0,0,3,0,
Acrigel Samsung A33 5g,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Samsung A53 5g,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Samsung S10E,3,6,130,65,100,30,0,0,0,0,1,
Acrigel Samsung S21 FE,3,6,180,65,100,30,0,0,0,0,2,
Acrigel Xiaomi Redmi 10C,3,6,130,65,100,30,0,0,1,0,0,
Acrigel Xiaomi Redmi Note 10 pro,3,6,130,65,100,30,0,2,0,0,0,
Acrigel Xiaomi Redmi Note 11 pro,3,6,130,65,100,30,1,0,1,0,0,
Acrigel Xiaomi Redmi note 11 y 11s,3,6,130,65,100,30,0,2,1,0,2,
Acrigel Xiaomi Redmi note 11 y 11T pro,3,6,130,65,100,30,0,0,1,0,2,
Acrigel Xiaomi Redmi note 8 pro,3,6,130,65,100,30,1,0,0,0,0,
Acrigel Xiaomi redmi note 9 pro,3,6,130,65,100,30,1,0,0,0,0,
Acrigel ZTE L210,3,6,130,80,100,30,0,0,1,0,0,
Acrigel ZTE L9,3,6,130,80,100,30,0,0,1,0,1,
Adaptador de audio 3.5  a iphone A1748 macho,2,6,180,80,150,28,4,0,0,0,1,
Adaptador de audio 3.5  a iphone A1749 hembra,2,6,180,80,150,28,6,0,2,0,0,
Adaptador de audio tipo C a 3.5mm economico,2,6,70,15,40,8,0,3,2,0,0,
Adaptador de audio tipo C a 3.5mm samsung,2,6,180,75,100,45,0,1,0,0,2,
Adaptador de audio tipo C a 3.5mm transhine,2,6,180,70,150,30,0,0,1,0,0,
Adaptador de audio tipo C a iphone A1703,2,6,180,80,150,30,4,0,0,0,0,
Adaptador de SIM,2,6,30,20,25,9,4,6,6,14,0,
Adaptador inalambrico TP link ,1,6,200,110,180,65,1,0,0,0,0,
Adaptador otg tipo C,2,6,70,20,35,9,7,5,6,26,1,
Adaptador otg V8 ,2,6,50,20,35,7,20,1,1,0,0,
Aire comprimido ,1,6,90,70,80,55,0,0,0,14,1,
Auxiliar bluetooth BTX6,2,6,100,45,80,27,1,2,5,9,0,
Auxiliar bluetooth STELAU PJ068,2,6,130,70,100,27,3,0,0,0,0,
Auxiliar bluetooth STELAU PJ069,2,6,100,50,85,29,7,0,0,0,1,
Banda para brazo iphone 6 plus,3,6,180,120,150,60,1,0,0,0,0,
Base para celular tipo microfono TZ2007,2,6,100,50,80,20,4,2,2,0,1,
Base para iPad y Tablet,2,6,130,80,110,40,0,1,1,0,0,
Baston selfie,2,6,70,30,60,15,0,0,1,0,1,
Bateria ALCATEL 5026 3C ,2,6,400,300,350,200,0,0,0,0,3,
Bateria HISENSE H40 lite,2,6,400,300,350,180,0,1,0,0,0,
Bateria Huawei Mate 20 lite,2,6,400,300,350,180,0,2,0,0,0,
Bateria Huawei Mate 9 Y7 2019,2,6,400,300,350,180,0,1,0,0,0,
Bateria Iphone 6,2,6,350,250,300,90,0,1,0,0,0,
Bateria IPHONE SE,2,6,400,300,350,150,0,1,0,0,0,
Bateria LG L80 L90 BL-54SH,2,6,150,110,130,80,0,0,0,0,1,
Bateria LG Q6 PRIME BL-T33,2,6,350,220,320,150,0,0,0,0,1,
Bateria Moto G6 HG30,2,6,400,300,350,180,0,2,0,0,0,
Bateria Moto G6 play E5,2,6,400,300,350,180,0,1,0,0,0,
Bateria MOTO GE30,2,6,400,300,350,220,0,0,0,0,1,
Bateria MOTO Gk40,2,6,220,130,190,75,0,2,2,0,0,
Bateria Moto KC40,2,6,250,180,220,100,0,1,0,0,0,
Bateria Nokia BL5C,2,6,120,90,100,60,0,0,1,0,0,
Bateria SAMSUNG CORE 2 EB585157LU,2,6,150,100,130,80,0,0,0,0,1,
Bateria Samsung Core Prime,2,6,180,120,160,80,0,0,1,0,0,
Bateria SAMSUNG J5 METAL EB-BJ510CBC,2,6,220,150,200,100,0,0,0,0,1,
Bateria Samsung J7,2,6,220,150,200,90,0,0,1,0,0,
Bateria SAMSUNG NOTE 3 B800BE,2,6,200,100,180,80,0,0,0,0,1,
Bateria Samsung prime G530,2,6,170,120,150,90,0,2,1,0,2,
Bateria ZTE A5 2019 A3 2020 L210,2,6,220,170,200,110,0,1,0,0,0,
Bocina 112,1,6,200,130,150,80,2,0,0,0,0,
Bocina 1Hora inalambrica BOC060,1,6,350,220,330,150,0,0,0,0,2,
Bocina barra BOC241,1,6,450,260,400,160,3,0,2,14,0,
Bocina BQ7618 4P,1,6,300,200,280,132,0,2,1,4,5,
Bocina BS1038,1,6,250,160,230,105,1,0,0,0,0,
Bocina F18,1,6,210,140,190,85,5,0,0,0,0,
Bocina GT111,1,6,180,120,150,70,1,0,0,0,0,
Bocina HL168,1,6,250,170,230,110,4,0,0,0,0,
Bocina HL185,1,6,280,170,250,120,1,0,0,0,0,
Bocina JB5002,1,6,130,90,110,60,1,0,0,0,0,
Bocina JC312,1,6,250,160,230,95,3,0,0,0,0,
Bocina KARAOKE QS828 QS827,1,6,550,350,520,287,0,1,1,0,1,
Bocina L22,1,6,280,175,250,125,0,0,2,0,1,
Bocina M CLIP 5,1,6,250,170,230,120,1,0,0,0,0,
Bocina M314,1,6,250,160,230,110,2,0,0,0,0,
Bocina MRF68,1,6,220,140,200,90,0,0,0,0,1,
Bocina MS1655BT,1,6,170,110,150,60,0,0,0,3,0,
Bocina MS1656BT,1,6,170,110,150,56,0,2,1,1,1,
Bocina MS1658BT,1,6,180,110,160,60,0,1,1,1,0,
Bocina MS1702BT,1,6,190,125,170,85,2,0,0,0,0,
Bocina MS170BT,1,6,400,260,350,160,1,0,0,0,0,
Bocina MS1717BT MS1716BT,1,6,200,140,180,86,1,1,1,2,0,
Bocina MS1907BT,2,6,300,200,280,139,0,1,0,2,0,
Bocina MS1914BT,1,6,390,230,360,170,1,0,0,0,0,
Bocina MS1921BT,1,6,280,200,260,122,0,0,1,1,0,
Bocina MS2003BT,7,6,450,290,430,218,0,0,0,1,0,
Bocina MS2004BT,7,6,450,270,430,204,0,0,1,1,0,
Bocina MS2005BT,7,6,450,280,420,218,0,0,1,0,0,
Bocina MS2202BT,1,6,200,125,180,74,0,0,1,0,0,
Bocina MS2206BT,1,6,170,110,150,62,0,1,0,0,0,
Bocina MS2206BT 2205BT,1,6,170,100,150,62,0,0,1,0,0,
Bocina MS2215BT,1,6,200,120,180,81,0,2,2,0,0,
Bocina MS2658BT,1,6,300,190,270,136,0,1,1,0,0,
Bocina MS2678BT,1,6,350,230,320,173,1,1,0,2,0,
